timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1716628353089,131,/actions/Account.action-112-1,200,,Thread Group 1-8,text,true,,2028,839,10,10,https://petstore.octoperf.com/actions/Catalog.action,130,0,0
1716628353221,140,/actions/Catalog.action-116,200,,Thread Group 1-8,text,true,,1951,839,10,10,https://petstore.octoperf.com/actions/Catalog.action,139,0,0
1716628352985,388,SignOut Page,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-9,,true,,4213,2526,10,10,null,0,3,0
1716628352986,258,/actions/Account.action-112,200,,Thread Group 1-9,text,true,,2259,1687,10,10,https://petstore.octoperf.com/actions/Catalog.action,127,0,0
1716628352986,127,/actions/Account.action-112-0,302,,Thread Group 1-9,,true,,230,848,10,10,https://petstore.octoperf.com/actions/Account.action?signoff=,127,0,0
1716628353114,130,/actions/Account.action-112-1,200,,Thread Group 1-9,text,true,,2029,839,10,10,https://petstore.octoperf.com/actions/Catalog.action,129,0,0
1716628353245,130,/actions/Catalog.action-116,200,,Thread Group 1-9,text,true,,1954,839,10,10,https://petstore.octoperf.com/actions/Catalog.action,129,0,0
1716628348231,175,Module 6 - Get the confirmation on submitted order,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,2145,837,10,10,null,0,4994,0
1716628353224,175,/actions/Order.action-110,200,,Thread Group 1-2,text,true,,2145,837,10,10,https://petstore.octoperf.com/actions/Order.action?newOrder=&confirmed=true,174,0,0
1716628353008,392,SignOut Page,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-10,,true,,4215,2526,10,10,null,0,3,0
1716628353009,261,/actions/Account.action-112,200,,Thread Group 1-10,text,true,,2260,1687,10,10,https://petstore.octoperf.com/actions/Catalog.action,129,0,0
1716628353009,392,SignOut Page,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-3,,true,,4216,2526,10,10,null,0,2,0
1716628353009,129,/actions/Account.action-112-0,302,,Thread Group 1-10,,true,,230,848,10,10,https://petstore.octoperf.com/actions/Account.action?signoff=,129,0,0
1716628353139,131,/actions/Account.action-112-1,200,,Thread Group 1-10,text,true,,2030,839,10,10,https://petstore.octoperf.com/actions/Catalog.action,130,0,0
1716628353010,259,/actions/Account.action-112,200,,Thread Group 1-3,text,true,,2257,1687,10,10,https://petstore.octoperf.com/actions/Catalog.action,128,0,0
1716628353271,131,/actions/Catalog.action-116,200,,Thread Group 1-10,text,true,,1955,839,10,10,https://petstore.octoperf.com/actions/Catalog.action,130,0,0
1716628353010,128,/actions/Account.action-112-0,302,,Thread Group 1-3,,true,,230,848,10,10,https://petstore.octoperf.com/actions/Account.action?signoff=,128,0,0
1716628353138,131,/actions/Account.action-112-1,200,,Thread Group 1-3,text,true,,2027,839,10,10,https://petstore.octoperf.com/actions/Catalog.action,131,0,0
1716628353270,133,/actions/Catalog.action-116,200,,Thread Group 1-3,text,true,,1959,839,10,10,https://petstore.octoperf.com/actions/Catalog.action,132,0,0
1716628348235,183,Module 6 - Get the confirmation on submitted order,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,2153,837,10,10,null,0,5006,0
1716628353240,183,/actions/Order.action-110,200,,Thread Group 1-6,text,true,,2153,837,10,10,https://petstore.octoperf.com/actions/Order.action?newOrder=&confirmed=true,182,0,0
1716628353042,403,SignOut Page,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-4,,true,,4206,2526,10,10,null,0,2,0
1716628353043,269,/actions/Account.action-112,200,,Thread Group 1-4,text,true,,2256,1687,10,10,https://petstore.octoperf.com/actions/Catalog.action,133,0,0
1716628353043,133,/actions/Account.action-112-0,302,,Thread Group 1-4,,true,,230,848,10,10,https://petstore.octoperf.com/actions/Account.action?signoff=,133,0,0
1716628353176,136,/actions/Account.action-112-1,200,,Thread Group 1-4,text,true,,2026,839,10,10,https://petstore.octoperf.com/actions/Catalog.action,136,0,0
1716628353313,134,/actions/Catalog.action-116,200,,Thread Group 1-4,text,true,,1950,839,10,10,https://petstore.octoperf.com/actions/Catalog.action,133,0,0
1716628348335,179,Module 6 - Get the confirmation on submitted order,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-7,,true,,2149,837,10,10,null,0,5006,0
1716628353340,179,/actions/Order.action-110,200,,Thread Group 1-7,text,true,,2149,837,10,10,https://petstore.octoperf.com/actions/Order.action?newOrder=&confirmed=true,179,0,0
1716628353096,422,SignOut Page,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-5,,true,,4209,2526,10,10,null,0,4,0
1716628353097,279,/actions/Account.action-112,200,,Thread Group 1-5,text,true,,2258,1687,10,10,https://petstore.octoperf.com/actions/Catalog.action,138,0,0
1716628353097,138,/actions/Account.action-112-0,302,,Thread Group 1-5,,true,,230,848,10,10,https://petstore.octoperf.com/actions/Account.action?signoff=,138,0,0
1716628353236,140,/actions/Account.action-112-1,200,,Thread Group 1-5,text,true,,2028,839,10,10,https://petstore.octoperf.com/actions/Catalog.action,139,0,0
1716628353378,143,/actions/Catalog.action-116,200,,Thread Group 1-5,text,true,,1951,839,10,10,https://petstore.octoperf.com/actions/Catalog.action,142,0,0
1716628353151,472,SignOut Page,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,4206,2526,10,10,null,0,3,0
1716628353152,315,/actions/Account.action-112,200,,Thread Group 1-1,text,true,,2255,1687,10,10,https://petstore.octoperf.com/actions/Catalog.action,156,0,0
